Configuration,Language,File Path,Successfully Extracted,Failure Reason
/language:javascript-typescript,JavaScript,.eslintrc.js,true,""
/language:javascript-typescript,JavaScript,.prettierrc.js,true,""
/language:javascript-typescript,JavaScript,jest.config.js,true,""
/language:javascript-typescript,TypeScript,__tests__/distributors/oracle-installer.test.ts,true,""
/language:javascript-typescript,TypeScript,__tests__/distributors/microsoft-installer.test.ts,true,""
/language:javascript-typescript,TypeScript,__tests__/toolchains.test.ts,true,""
/language:javascript-typescript,TypeScript,__tests__/cleanup-java.test.ts,true,""
/language:javascript-typescript,TypeScript,src/gpg.ts,true,""
/language:javascript-typescript,TypeScript,src/distributions/local/installer.ts,true,""
/language:javascript-typescript,TypeScript,src/distributions/corretto/models.ts,true,""
/language:javascript-typescript,TypeScript,src/distributions/oracle/installer.ts,true,""
/language:javascript-typescript,TypeScript,__tests__/distributors/zulu-windows-installer.test.ts,true,""
/language:javascript-typescript,TypeScript,src/distributions/base-installer.ts,true,""
/language:javascript-typescript,TypeScript,src/distributions/zulu/models.ts,true,""
/language:javascript-typescript,TypeScript,__tests__/distributors/corretto-installer.test.ts,true,""
/language:javascript-typescript,TypeScript,__tests__/distributors/sapmachine-installer.test.ts,true,""
/language:javascript-typescript,TypeScript,__tests__/distributors/zulu-installer.test.ts,true,""
/language:javascript-typescript,TypeScript,__tests__/distributors/dragonwell-installer.test.ts,true,""
/language:javascript-typescript,TypeScript,__tests__/distributors/liberica-installer.test.ts,true,""
/language:javascript-typescript,TypeScript,src/distributions/dragonwell/installer.ts,true,""
/language:javascript-typescript,TypeScript,src/distributions/sapmachine/installer.ts,true,""
/language:javascript-typescript,TypeScript,src/distributions/oracle/models.ts,true,""
/language:javascript-typescript,TypeScript,src/distributions/semeru/installer.ts,true,""
/language:javascript-typescript,TypeScript,src/distributions/microsoft/models.ts,true,""
/language:javascript-typescript,TypeScript,src/setup-java.ts,true,""
/language:javascript-typescript,TypeScript,__tests__/distributors/liberica-linux-installer.test.ts,true,""
/language:javascript-typescript,TypeScript,__tests__/distributors/adopt-installer.test.ts,true,""
/language:javascript-typescript,TypeScript,src/auth.ts,true,""
/language:javascript-typescript,TypeScript,src/distributions/adopt/models.ts,true,""
/language:javascript-typescript,TypeScript,src/distributions/temurin/installer.ts,true,""
/language:javascript-typescript,TypeScript,src/distributions/corretto/installer.ts,true,""
/language:javascript-typescript,TypeScript,__tests__/distributors/semeru-installer.test.ts,true,""
/language:javascript-typescript,TypeScript,__tests__/distributors/temurin-installer.test.ts,true,""
/language:javascript-typescript,TypeScript,src/distributions/distribution-factory.ts,true,""
/language:javascript-typescript,TypeScript,src/distributions/sapmachine/models.ts,true,""
/language:javascript-typescript,TypeScript,src/distributions/base-models.ts,true,""
/language:javascript-typescript,TypeScript,src/distributions/zulu/installer.ts,true,""
/language:javascript-typescript,TypeScript,__tests__/auth.test.ts,true,""
/language:javascript-typescript,TypeScript,__tests__/distributors/local-installer.test.ts,true,""
/language:javascript-typescript,TypeScript,__tests__/util.test.ts,true,""
/language:javascript-typescript,TypeScript,src/distributions/temurin/models.ts,true,""
/language:javascript-typescript,TypeScript,src/distributions/dragonwell/models.ts,true,""
/language:javascript-typescript,TypeScript,src/distributions/microsoft/installer.ts,true,""
/language:javascript-typescript,TypeScript,__tests__/cache.test.ts,true,""
/language:javascript-typescript,TypeScript,__tests__/gpg.test.ts,true,""
/language:javascript-typescript,TypeScript,src/util.ts,true,""
/language:javascript-typescript,TypeScript,src/cache.ts,true,""
/language:javascript-typescript,TypeScript,src/distributions/liberica/installer.ts,true,""
/language:javascript-typescript,TypeScript,src/distributions/liberica/models.ts,true,""
/language:javascript-typescript,TypeScript,src/toolchains.ts,true,""
/language:javascript-typescript,TypeScript,src/cleanup-java.ts,true,""
/language:javascript-typescript,TypeScript,__tests__/distributors/base-installer.test.ts,true,""
/language:javascript-typescript,TypeScript,__tests__/distributors/zulu-linux-installer.test.ts,true,""
/language:javascript-typescript,TypeScript,src/distributions/adopt/installer.ts,true,""
/language:javascript-typescript,TypeScript,src/distributions/semeru/models.ts,true,""
/language:javascript-typescript,TypeScript,src/constants.ts,true,""
/language:javascript-typescript,TypeScript,__tests__/distributors/liberica-windows-installer.test.ts,true,""
